z,P(Z≤z)_empirica,P(Z≤z)_teorica,error_absoluto
-0.8200000000000656,0.206713,0.20610805358579437,0.0006049464142056371
-0.8100000000000658,0.209659,0.20897008787158272,0.0006889121284172905
-0.800000000000066,0.212642,0.21185539858337754,0.0007866014166224566
-0.7900000000000662,0.215593,0.2147638841636178,0.0008291158363822049
-0.7800000000000664,0.218489,0.21769543758571358,0.0007935624142864084
-0.7700000000000666,0.221492,0.22064994634262985,0.0008420536573701398
-0.7600000000000668,0.224487,0.2236272924375795,0.0008597075624204864
-0.7500000000000671,0.227506,0.226627352376848,0.0008786476231520124
-0.7400000000000673,0.230558,0.2296499971647702,0.0009080028352298208
-0.7300000000000675,0.23361,0.23269509230087682,0.0009149076991231964
-0.7200000000000677,0.236649,0.2357624977792303,0.0008865022207696915
-0.7100000000000679,0.239747,0.23885206808996567,0.0008949319100343134
-0.7000000000000681,0.242899,0.24196365222305172,0.0009353477769482865
-0.6900000000000683,0.246064,0.245097093674288,0.0009669063257120025
-0.6800000000000685,0.249126,0.24825223045354883,0.0008737695464511586
-0.6700000000000688,0.252264,0.2514288950952882,0.0008351049047117809
-0.660000000000069,0.255574,0.25462691467131404,0.0009470853286859815
-0.6500000000000692,0.258856,0.2578461108058424,0.001009889194157565
-0.6400000000000694,0.26212,0.26108629969283903,0.0010337003071609896
-0.6300000000000696,0.265464,0.2643472921156548,0.0011167078843452027
-0.6200000000000698,0.268754,0.26762889346896,0.0011251065310399766
-0.61000000000007,0.272052,0.27093090378298246,0.0011210962170175587
-0.6000000000000703,0.275366,0.2742531177500501,0.0011128822499498758
-0.5900000000000705,0.278738,0.2775953247534413,0.0011426752465586998
-0.5800000000000707,0.282115,0.28095730889854054,0.0011576911014594682
-0.5700000000000709,0.285461,0.28433884904630014,0.0011221509536998853
-0.5600000000000711,0.288816,0.28773971884900273,0.0010762811509972825
-0.5500000000000713,0.292247,0.29115968678832194,0.0010873132116780426
-0.5400000000000715,0.295686,0.29459851621567335,0.0010874837843266594
-0.5300000000000717,0.299159,0.2980559653948516,0.001103034605148434
-0.520000000000072,0.302639,0.3015317875469411,0.0011072124530588923
-0.5100000000000722,0.306054,0.30502573089749413,0.0010282691025058632
-0.5000000000000724,0.309507,0.3085375387259614,0.0009694612740385744
-0.4900000000000726,0.312988,0.3120669494173649,0.0009210505826350857
-0.4800000000000728,0.316396,0.3156136965161967,0.0007823034838033149
-0.470000000000073,0.319915,0.3191775087825297,0.0007374912174702986
-0.46000000000007324,0.323493,0.3227581102503214,0.0007348897496785578
-0.45000000000007345,0.327179,0.32635522028789354,0.0008237797121064538
-0.44000000000007367,0.330826,0.329968553660567,0.0008574463394330212
-0.4300000000000739,0.334434,0.33359782059543075,0.0008361794045692594
-0.4200000000000741,0.337985,0.33724272684822243,0.0007422731517775505
-0.4100000000000743,0.341651,0.3409029737722954,0.0007480262277045902
-0.4000000000000745,0.345323,0.3445782583896484,0.0007447416103515958
-0.39000000000007473,0.349027,0.34826827346399,0.0007587265360100015
-0.38000000000007494,0.352825,0.35197270757580945,0.0008522924241905483
-0.37000000000007516,0.356518,0.3556912451994253,0.0008267548005747027
-0.36000000000007537,0.360268,0.35942356678198056,0.0008444332180194136
-0.3500000000000756,0.363878,0.3631693488243526,0.0007086511756473901
-0.3400000000000758,0.367518,0.3669282639639434,0.0005897360360566095
-0.330000000000076,0.371314,0.3706999810593178,0.0006140189406821928
-0.3200000000000762,0.375196,0.37448416527665107,0.0007118347233489031
-0.31000000000007644,0.37896,0.37828047817795163,0.0006795218220483901
-0.30000000000007665,0.382818,0.3820885778110181,0.0007294221889818653
-0.29000000000007686,0.386638,0.38590811880109327,0.0007298811989067122
-0.2800000000000771,0.390438,0.3897387524441732,0.0006992475558267874
-0.2700000000000773,0.394243,0.3935801268019308,0.000662873198069236
-0.2600000000000775,0.398153,0.3974318867982096,0.0007211132017903576
-0.2500000000000777,0.402025,0.4012936743170462,0.0007313256829538095
-0.24000000000007793,0.405825,0.40516512830217394,0.0006598716978260533
-0.23000000000007814,0.409793,0.4090458848579638,0.0007471151420362365
-0.22000000000007836,0.413681,0.4129355773517549,0.0007454226482451198
-0.21000000000007857,0.417511,0.41683383651752703,0.0006771634824729866
-0.20000000000007878,0.421535,0.42074029056086615,0.000794709439133845
-0.190000000000079,0.425358,0.4246545652651736,0.0007034347348264247
-0.1800000000000792,0.429227,0.42857628409906817,0.000650715900931853
-0.17000000000007942,0.433259,0.43250506832493035,0.0007539316750696523
-0.16000000000007963,0.437172,0.4364405371085358,0.0007314628914641963
-0.15000000000007985,0.441061,0.44038230762972597,0.0006786923702740144
-0.14000000000008006,0.445005,0.44432999519406197,0.0006750048059380176
-0.13000000000008027,0.448911,0.4482832133454071,0.000627786654592899
-0.12000000000008049,0.452876,0.45224157397938425,0.0006344260206157526
-0.1100000000000807,0.456864,0.4562046874576512,0.0006593125423488
-0.10000000000008091,0.460811,0.4601721627229389,0.0006388372770610995
-0.09000000000008113,0.464698,0.46414360741479566,0.0005543925852043441
-0.08000000000008134,0.468609,0.46811862798598025,0.0004903720140197465
-0.07000000000008155,0.47249,0.47209682981944645,0.00039317018055357034
-0.060000000000081766,0.476435,0.4760778173458606,0.00035718265413942074
-0.05000000000008198,0.480456,0.4800611941615949,0.0003948058384051212
-0.04000000000008219,0.48444,0.48404656314713645,0.0003934368528635268
-0.030000000000082405,0.488432,0.48803352658585447,0.00039847341414550597
-0.02000000000008262,0.492382,0.4920216862830651,0.00036031371693490133
-0.010000000000082832,0.496426,0.4960106436853354,0.00041535631466460554
-8.304468224196171e-14,0.500394,0.49999999999996686,0.0003940000000331456
0.009999999999916742,0.50442,0.5039893563145984,0.00043064368540157716
0.01999999999991653,0.508431,0.5079783137168686,0.00045268628313133163
0.029999999999916316,0.512495,0.5119664734140793,0.00052852658592073
0.0399999999999161,0.516436,0.5159534368527973,0.0004825631472027414
0.04999999999991589,0.520327,0.519938805838339,0.00038819416166102627
0.059999999999915676,0.524341,0.5239221826540733,0.00041881734592663644
0.06999999999991546,0.528318,0.5279031701804875,0.00041482981951246334
0.07999999999991525,0.532241,0.5318813720139537,0.00035962798604627366
0.08999999999991504,0.53622,0.5358563925851384,0.00036360741486163306
